,0
户外活动时间,0.14255853
电子产品使用时间,0.101279706
近距离用眼时间,0.08083354
父柱镜,0.046430856
居住地,0.042517927
母柱镜,0.04230282
营养是否均衡,0.040750384
出生体重,0.035279624
出生史,0.034478437
外眦点相对距离,0.033623815
父球镜,0.033185977
出生吸氧史,0.033170052
年龄,0.030563245
右眼睫毛下垂角度,0.030265253
分娩方式,0.029896528
体重,0.02930751
左眼睫毛下垂角度,0.02821896
身高,0.028030759
下睑缘与内眦连线夹角,0.027809378
下睑缘相对距离,0.026613897
角膜中心相对距离,0.026186962
母球镜,0.026146699
角膜中心与内眦连线夹角,0.02604275
性别,0.024506379
